Song,Artist,Valence,Key,Mode,Danceability,Date
Dior,Pop Smoke,0.648,7.0,1.0,0.5479999999999999,2019-07-26
Go Stupid,Polo G Featuring NLE Choppa & Stunna 4 Vegas,0.645,1.0,1.0,0.92,2020-05-15
Might Not Give Up,A Boogie Wit da Hoodie Featuring Young Thug,0.24600000000000002,2.0,1.0,0.687,2020-02-14
Thug Love,A Boogie Wit da Hoodie,0.32799999999999996,5.0,0.0,0.54,2020-02-14
After Hours,The Weeknd,0.14300000000000002,5.0,0.0,0.664,2020-03-20
Ignorantes,Bad Bunny & Sech,0.505,1.0,1.0,0.85,2020-02-14
Stain,A Boogie Wit da Hoodie Featuring DaBaby,0.604,8.0,1.0,0.816,2020-02-14
Come Around Me,Justin Bieber,0.767,2.0,0.0,0.648,2020-02-14
Cinderella Story,A Boogie Wit da Hoodie,0.569,4.0,1.0,0.639,2020-02-14
Habitual,Justin Bieber,0.63,4.0,1.0,0.764,2020-02-14
All Around Me,Justin Bieber,0.6920000000000001,0.0,0.0,0.5660000000000001,2020-02-14
Red Eye,YoungBoy Never Broke Again,0.327,9.0,1.0,0.485,2020-02-21
Fine By Time,YoungBoy Never Broke Again,0.33299999999999996,8.0,1.0,0.506,2020-02-21
Bad Bad,YoungBoy Never Broke Again,0.812,3.0,0.0,0.682,2020-02-21
Knocked Off,YoungBoy Never Broke Again,0.569,6.0,0.0,0.752,2020-02-21
Moral Of The Story,Ashe,0.265,10.0,1.0,0.5720000000000001,2019-02-14
RIP Lil Phat,YoungBoy Never Broke Again,0.608,6.0,0.0,0.652,2020-02-21
My Time,BTS,0.664,0.0,0.0,0.674,2020-02-21
Long RD,YoungBoy Never Broke Again,0.307,4.0,0.0,0.768,2020-02-21
Filter,BTS,0.86,10.0,0.0,0.7809999999999999,2020-02-21
Bat Man,YoungBoy Never Broke Again,0.745,1.0,0.0,0.782,2020-02-21
The Man,Taylor Swift,0.633,0.0,1.0,0.777,2019-08-23
Shake The Room,Pop Smoke Featuring Quavo,0.4370000000000001,2.0,1.0,0.733,2020-02-07
Feel Me,Selena Gomez,0.392,2.0,0.0,0.71,2020-02-21
Stupid Love,Lady Gaga,0.784,8.0,1.0,0.68,2020-05-29
Commercial,Lil Baby Featuring Lil Uzi Vert,0.535,11.0,0.0,0.892,2020-02-28
La Dificil,Bad Bunny,0.7609999999999999,8.0,0.0,0.685,2020-02-28
PTSD,"G Herbo Featuring Chance The Rapper, Juice WRLD & Lil Uzi Vert",0.805,1.0,0.0,0.883,2020-02-28
Get Ugly,Lil Baby,0.0734,1.0,0.0,0.6809999999999999,2020-02-28
No Sucker,Lil Baby & Moneybagg Yo,0.851,0.0,1.0,0.9,2020-02-28
How,Lil Baby,0.272,11.0,1.0,0.644,2011-01-01
Pero Ya No,Bad Bunny,0.742,4.0,1.0,0.882,2020-02-28
Forever,Lil Baby Featuring Lil Wayne,0.542,5.0,0.0,0.415,2009-01-01
Yo Perreo Sola,Bad Bunny,0.45299999999999996,11.0,1.0,0.86,2020-02-28
Same Thing,Lil Baby,0.556,7.0,1.0,0.902,2020-02-28
Bichiyal,Bad Bunny & Yaviah,0.662,10.0,0.0,0.737,2020-02-28
We Should,Lil Baby & Young Thug,0.562,9.0,0.0,0.562,2020-02-28
Solia,Bad Bunny,0.184,2.0,1.0,0.71,2020-02-28
Sunday Best,Surfaces,0.6940000000000001,5.0,1.0,0.878,2019-01-06
Can't Explain,Lil Baby,0.11900000000000001,10.0,1.0,0.642,2020-02-28
Baby Pluto,Lil Uzi Vert,0.6709999999999999,10.0,0.0,0.772,2020-03-06
Lo Mein,Lil Uzi Vert,0.509,1.0,1.0,0.855,2020-03-06
Silly Watch,Lil Uzi Vert,0.157,8.0,1.0,0.903,2020-03-06
P2,Lil Uzi Vert,0.49,11.0,0.0,0.775,2020-03-06
I Love Me,Demi Lovato,0.713,6.0,1.0,0.664,2020-03-06
Homecoming,Lil Uzi Vert,0.353,9.0,1.0,0.929,2020-03-06
B.S.,Jhene Aiko Featuring H.E.R.,0.377,8.0,0.0,0.617,2020-03-06
Prices,Lil Uzi Vert,0.57,7.0,1.0,0.7859999999999999,2020-03-06
POP,Lil Uzi Vert,0.261,1.0,1.0,0.772,2019-06-07
